bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1724272,2035,HB1,2,Engrossed,2023-04-25,"A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for courts to be open and suits against the Commonwealth.","A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for courts to be open and suits against the Commonwealth.",84,"Senate State Government",2023-05-08,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1
1723866,2035,HB2,2,Engrossed,2023-03-07,"In limitation of time, further providing for infancy, insanity or imprisonment; in matters affecting government units, further providing for exceptions to sovereign immunity and for exceptions to governmental immunity; and making a repeal.","An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in limitation of time, further providing for infancy, insanity or imprisonment; in matters affecting government units, further providing for exceptions to sovereign immunity and for exceptions to governmental immunity; and making a repeal.",77,"Senate Judiciary",2023-03-28,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB2/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=2
1773739,2035,HB19,1,Introduced,2023-07-05,"Further providing for definitions, for respiratory therapists, for perfusionist, for genetic counselor and for prosthetists, orthotists, pedorthists and orthotic fitters; providing for behavior analysts and assistant behavior analysts; and further providing for licenses and certificates and general qualification.","An Act amending the act of December 20, 1985 (P.L.457, No.112), known as the Medical Practice Act of 1985, further providing for definitions, for respiratory therapists, for perfusionist, for genetic counselor and for prosthetists, orthotists, pedorthists and orthotic fitters; providing for behavior analysts and assistant behavior analysts; and further providing for licenses and certificates and general qualification.",57,"House Professional Licensure",2023-07-05,"Referred to PROFESSIONAL LICENSURE",https://legiscan.com/PA/bill/HB19/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=19
1745716,2035,HB20,1,Introduced,2023-03-23,"Providing for registration of extraordinary water users; imposing a water resource fee; establishing the Water Use Fund; and providing for submission of a question to the electorate authorizing incurring of indebtedness for water-related environmental initiatives.","An Act providing for registration of extraordinary water users; imposing a water resource fee; establishing the Water Use Fund; and providing for submission of a question to the electorate authorizing incurring of indebtedness for water-related environmental initiatives.",45,"House Environmental Resources & Energy",2023-03-23,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB20/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=20
1724313,2035,HB21,1,Introduced,2023-03-07,"In table games, further providing for table game taxes.","An Act amending Title 4 (Amusements) of the Pennsylvania Consolidated Statutes, in table games, further providing for table game taxes.",47,"House Finance",2023-03-07,"Referred to FINANCE",https://legiscan.com/PA/bill/HB21/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=21
1724353,2035,HB22,1,Introduced,2023-03-07,"Establishing the Medicaid Care Transition Program; and imposing duties on the Department of Human Services.","An Act establishing the Medicaid Care Transition Program; and imposing duties on the Department of Human Services.",1791,"House Human Services",2023-03-07,"Referred to HUMAN SERVICES",https://legiscan.com/PA/bill/HB22/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=22
1724112,2035,HB23,1,Introduced,2023-03-07,"Further providing for disability benefits for campus police officers and for definitions.","An Act amending the act of June 28, 1935 (P.L.477, No.193), referred to as the Enforcement Officer Disability Benefits Law, further providing for disability benefits for campus police officers and for definitions.",1790,"House Labor And Industry",2023-03-07,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB23/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=23
1723906,2035,HB24,1,Introduced,2023-03-07,"Providing for Collaborative Care Model and Primary Care Behavioral Health Model Implementation Program; and making an appropriation.","An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, providing for Collaborative Care Model and Primary Care Behavioral Health Model Implementation Program; and making an appropriation.",1791,"House Human Services",2023-03-07,"Referred to HUMAN SERVICES",https://legiscan.com/PA/bill/HB24/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=24
1723747,2035,HB25,1,Introduced,2023-03-07,"Establishing the Adult Education Workforce Recovery Grant Program and the Adult Education and Workforce Recovery Grant Program Fund; and making a transfer.","An Act amending Title 24 (Education) of the Pennsylvania Consolidated Statutes, establishing the Adult Education Workforce Recovery Grant Program and the Adult Education and Workforce Recovery Grant Program Fund; and making a transfer.",44,"House Education",2023-03-07,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB25/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=25
1723713,2035,HB26,1,Introduced,2023-03-07,"In dispositions independent of letters, family exemption and probate of wills and grant of letters, further providing for payments to family and funeral directors.","An Act amending Title 20 (Decedents, Estates and Fiduciaries) of the Pennsylvania Consolidated Statutes, in dispositions independent of letters, family exemption and probate of wills and grant of letters, further providing for payments to family and funeral directors.",47,"House Finance",2023-03-07,"Referred to FINANCE",https://legiscan.com/PA/bill/HB26/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=26
