bill_id,date,chamber,sequence,action
1641635,2023-01-03,Senate,1,Introduced
1641635,2023-01-03,Senate,2,"Referred to RULES AND EXECUTIVE NOMINATIONS (27-21)"
1641680,2023-01-03,Senate,1,Introduced
1641680,2023-01-03,Senate,2,"Referred to RULES AND EXECUTIVE NOMINATIONS (27-21)"
1641726,2023-01-03,Senate,1,"Introduced and adopted (43-5)"
1641776,2023-01-03,Senate,1,"Introduced and adopted (47-2)"
1641829,2023-01-03,Senate,1,"Introduced and adopted (47-2)"
1641878,2023-01-03,Senate,1,Introduced
1641878,2023-01-03,Senate,2,"Referred to RULES AND EXECUTIVE NOMINATIONS (27-21)"
1641928,2023-01-03,Senate,1,"Introduced and adopted"
1644661,2023-01-06,Senate,1,"Referred to TRANSPORTATION"
1644661,2023-01-09,Senate,2,"Reported as committed"
1644661,2023-01-09,Senate,3,"First consideration"
1644661,2023-01-10,Senate,4,"Second consideration"
1644661,2023-01-11,Senate,5,"Third consideration and final passage (48-0)"
1644661,2023-01-11,House,6,"In the House"
1644661,2023-03-07,House,7,"Referred to TRANSPORTATION"
1644738,2023-01-06,Senate,1,"Referred to TRANSPORTATION"
1644738,2023-01-09,Senate,2,"Reported as committed"
1644738,2023-01-09,Senate,3,"First consideration"
1644738,2023-01-17,Senate,4,"Second consideration, *opening vote* Jan. 17, 2023 (48-0)"
1644738,2023-01-17,Senate,5,"Re-referred to APPROPRIATIONS"
1644738,2023-01-18,Senate,6,"Re-reported as committed"
1644738,2023-01-18,Senate,7,"Third consideration and final passage (49-0)"
1644738,2023-01-18,House,8,"In the House"
1644738,2023-03-07,House,9,"Referred to TRANSPORTATION"
1644738,2023-06-26,House,10,"Reported as committed"
1644738,2023-06-26,House,11,"First consideration"
1644738,2023-06-26,House,12,"Laid on the table"
1644821,2023-01-06,Senate,1,"Referred to TRANSPORTATION"
1644821,2023-01-09,Senate,2,"Reported as committed"
1644821,2023-01-09,Senate,3,"First consideration"
1644821,2023-01-10,Senate,4,"Second consideration, *opening vote* Jan. 10, 2023 (49-0)"
1644821,2023-01-11,Senate,5,"Third consideration and final passage (48-0)"
1644821,2023-01-11,House,6,"In the House"
1644821,2023-03-07,House,7,"Referred to TRANSPORTATION"
1644821,2023-06-26,House,8,"Reported as amended"
1644821,2023-06-26,House,9,"First consideration"
1644821,2023-06-26,House,10,"Laid on the table"
1644905,2023-01-06,Senate,1,"Referred to TRANSPORTATION"
1644905,2023-01-09,Senate,2,"Reported as committed"
1644905,2023-01-09,Senate,3,"First consideration"
1644905,2023-01-10,Senate,4,"Second consideration"
1644905,2023-01-10,Senate,5,"Re-referred to APPROPRIATIONS"
1644905,2023-01-11,Senate,6,"Re-reported as committed"
1644905,2023-01-11,Senate,7,"Third consideration and final passage (29-19)"
1644905,2023-01-11,House,8,"In the House"
1644905,2023-03-07,House,9,"Referred to FINANCE"
1644990,2023-01-06,Senate,1,"Referred to EDUCATION"
1644990,2023-01-10,Senate,2,"Reported as committed"
1644990,2023-01-10,Senate,3,"First consideration"
1644990,2023-01-11,Senate,4,"Second consideration, *opening vote* Jan. 11, 2023 (48-0)"
1644990,2023-01-18,Senate,5,"Third consideration, *opening vote* Jan. 18, 2023 (49-0)"
1644990,2023-01-18,Senate,6,"Final passage (49-0)"
1644990,2023-01-18,House,7,"In the House"
1644990,2023-03-07,House,8,"Referred to EDUCATION"
1644990,2023-06-13,House,9,"Reported as committed"
1644990,2023-06-13,House,10,"First consideration"
1644990,2023-06-13,House,11,"Laid on the table"
1644990,2023-10-17,House,12,"Removed from table"
1644990,2023-10-18,House,13,"Second consideration"
1644990,2023-10-18,House,14,"Re-referred to APPROPRIATIONS"
1644990,2023-10-30,House,15,"Re-reported as committed"
1644990,2023-10-30,House,16,"Third consideration and final passage (201-1)"
1644990,2023-11-01,House,17,"Signed in Senate"
1644990,2023-10-31,House,18,"Signed in House"
1644990,2023-11-01,House,19,"Presented to the Governor"
1644990,2023-11-06,House,20,"Approved by the Governor"
1644990,2023-11-06,House,21,"Act No. 26 of 2023"
1645075,2023-01-06,Senate,1,"Referred to TRANSPORTATION"
1645075,2023-01-09,Senate,2,"Reported as committed"
1645075,2023-01-09,Senate,3,"First consideration"
1645075,2023-01-10,Senate,4,"Second consideration"
1645075,2023-01-11,Senate,5,"Re-referred to APPROPRIATIONS"
1645075,2023-02-28,Senate,6,"Re-reported as committed"
1645075,2023-02-28,Senate,7,"Third consideration and final passage (28-21)"
1645075,2023-02-28,House,8,"In the House"
1645075,2023-03-07,House,9,"Referred to TRANSPORTATION"
1645159,2023-01-06,Senate,1,"Referred to STATE GOVERNMENT"
1645159,2023-01-09,Senate,2,"Reported as amended"
1645159,2023-01-09,Senate,3,"First consideration"
1645159,2023-01-10,Senate,4,"Second consideration"
1645159,2023-01-10,Senate,5,"Re-referred to RULES AND EXECUTIVE NOMINATIONS"
1645159,2023-01-10,Senate,6,"Re-reported as amended"
1645159,2023-01-11,Senate,7,"Re-referred to APPROPRIATIONS"
1645159,2023-01-11,Senate,8,"Re-reported as committed"
1645159,2023-01-11,Senate,9,"Third consideration and final passage (28-20)"
1645159,2023-01-11,House,10,"In the House"
1645159,2023-03-01,House,11,"Referred to JUDICIARY"
1645159,2023-03-01,House,12,"Reported as amended"
1645159,2023-03-01,House,13,"First consideration"
1645159,2023-03-01,House,14,"Laid on the table"
1645159,2023-03-02,House,15,"Removed from table"
1645159,2023-03-13,House,16,"Re-committed to JUDICIARY"
1645159,2023-04-21,House,17,"Re-reported as committed"
1645159,2023-05-03,House,18,"Motion to revert to Prior Printer's No. 26 (100-101)"
1645159,2023-05-03,House,19,"Second consideration"
1645159,2023-05-03,House,20,"Re-referred to APPROPRIATIONS"
1645159,2023-05-22,House,21,"Re-reported as committed"
1645159,2023-05-22,House,22,"Third consideration and final passage (145-56)"
1645159,2023-05-22,Senate,23,"In the Senate"
1645159,2023-06-05,Senate,24,"Referred to RULES AND EXECUTIVE NOMINATIONS"
1645247,2023-01-06,Senate,1,"Referred to STATE GOVERNMENT"
1645247,2023-01-09,Senate,2,"Reported as committed"
1645247,2023-01-09,Senate,3,"First consideration"
1645247,2023-01-10,Senate,4,"Second consideration"
1645247,2023-01-10,Senate,5,"Re-referred to RULES AND EXECUTIVE NOMINATIONS"
1645247,2023-01-10,Senate,6,"Re-reported as committed"
1645247,2023-01-11,Senate,7,"Re-committed to RULES AND EXECUTIVE NOMINATIONS"
1645978,2023-01-09,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1645978,2023-02-27,Senate,2,"Reported as committed"
1645978,2023-02-28,Senate,3,"Adopted (31-18)"
1645978,2023-03-06,Senate,4,"Transmitted as directed"
1646085,2023-01-09,Senate,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1646085,2023-01-10,Senate,2,"Reported as committed"
1646085,2023-01-10,Senate,3,"First consideration"
1646085,2023-01-17,Senate,4,"Second consideration"
1646085,2023-01-17,Senate,5,"Re-referred to APPROPRIATIONS"
1646085,2023-03-08,Senate,6,"Re-reported as committed"
1646085,2023-03-08,Senate,7,"Third consideration and final passage (49-0)"
1646085,2023-03-08,House,8,"In the House"
1646085,2023-03-08,House,9,"Referred to FINANCE"
1646085,2024-05-21,House,10,"Reported as committed"
1646085,2024-05-21,House,11,"First consideration"
1646085,2024-05-21,House,12,"Laid on the table"
1646085,2024-06-03,House,13,"Removed from table"
1646085,2024-06-04,House,14,"Second consideration, with amendments"
1646085,2024-06-04,House,15,"Re-referred to APPROPRIATIONS"
1646085,2024-06-05,House,16,"Re-reported as committed"
