bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1641635,1230971,2023-01-03,Senate,"Senate Floor: SR 7, Refer to the Committee on Rules",27,21,0,1,49
1641635,1230999,2023-01-03,Senate,"Senate Floor: SR 7, Refer to the Committee on Rules",27,21,0,1,49
1641680,1230969,2023-01-03,Senate,"Senate Floor: SR 5, Refer to the Committee on Rules",27,21,0,1,49
1641680,1230991,2023-01-03,Senate,"Senate Floor: SR 5, Refer to the Committee on Rules",27,21,0,1,49
1641726,1230968,2023-01-03,Senate,"Senate Floor: SR 3",43,5,1,0,49
1641726,1231105,2023-01-03,Senate,"Senate Floor: SR 3, Rules of the Senate for the 207th and 208th Regular Session",47,2,0,0,49
1641776,1230966,2023-01-03,Senate,"Senate Floor: SR 1",47,2,0,0,49
1641776,1231104,2023-01-03,Senate,"Senate Floor: SR 1, Ethical Conduct Rules of the Senate",47,2,0,0,49
1641829,1230967,2023-01-03,Senate,"Senate Floor: SR 2",47,2,0,0,49
1641829,1231108,2023-01-03,Senate,"Senate Floor: SR 2, Financial Operating Rules of the Senate",47,2,0,0,49
1641878,1230970,2023-01-03,Senate,"Senate Floor: SR 6, Refer to the Committee on Rules",27,21,0,1,49
1641878,1231001,2023-01-03,Senate,"Senate Floor: SR 6, Refer to the Committee on Rules",27,21,0,1,49
1644661,1231162,2023-01-09,Senate,"Senate Transportation: Reported as Committed",14,0,0,0,14
1644661,1231431,2023-01-11,Senate,"Senate Floor: SB 122 PN 12, Final Passage",48,0,0,1,49
1644738,1231122,2023-01-09,Senate,"Senate Transportation: Reported as Committed",14,0,0,0,14
1644738,1232150,2023-01-17,Senate,"Senate Floor: SB 95 PN 8, Bill on Second Consideration",48,0,0,1,49
1644738,1232626,2023-01-18,Senate,"Senate Floor: SB 95 PN 8, Final Passage",49,0,0,0,49
1644738,1232627,2023-01-18,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1644738,1347416,2023-06-26,House,"House Transportation: Report Bill As Committed",21,0,0,0,21
1644821,1231139,2023-01-09,Senate,"Senate Transportation: Reported as Committed",14,0,0,0,14
1644821,1231254,2023-01-10,Senate,"Senate Floor: SB 96 PN 9, Bill on second consideration",49,0,0,0,49
1644821,1231416,2023-01-11,Senate,"Senate Floor: SB 96 PN 9, Final Passage",48,0,0,1,49
1644821,1347426,2023-06-26,House,"House Transportation: Report Bill As Amended",21,0,0,0,21
1644821,1347427,2023-06-26,House,"House Transportation: Adopt Amendment A01280",21,0,0,0,21
1644905,1231131,2023-01-09,Senate,"Senate Transportation: Reported as Committed",11,3,0,0,14
1644905,1231349,2023-01-11,Senate,"Senate Appropriations: Re-Reported as Committed",16,7,1,0,24
1644905,1231385,2023-01-11,Senate,"Senate Floor: SB 35 PN 13, 2023 A20, Motion to Table HUGHES Amendment No. A-0020",27,21,0,1,49
1644905,1231386,2023-01-11,Senate,"Senate Floor: SB 35 PN 13, Final Passage",29,19,0,1,49
1644990,1231210,2023-01-10,Senate,"Senate Education: Reported as Committed",11,0,0,0,11
1644990,1231390,2023-01-11,Senate,"Senate Floor: SB 84 PN 10, Bill on Second Consideration",48,0,0,1,49
1644990,1232599,2023-01-18,Senate,"Senate Floor: SB 84 PN 10, Bill on Third Consideration",49,0,0,0,49
1644990,1232600,2023-01-18,Senate,"Senate Floor: SB 84 PN 10, Final Passage",49,0,0,0,49
1644990,1343302,2023-06-13,House,"House Education: Report Bill As Committed",21,0,0,0,21
1644990,1356659,2023-10-30,House,"House Floor: SB 84 PN 10, FINAL PASSAGE",201,1,0,1,203
1644990,1356698,2023-10-30,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1645075,1231121,2023-01-09,Senate,"Senate Transportation: Reported as Committed",9,5,0,0,14
1645075,1263676,2023-02-28,Senate,"Senate Floor: SB 121 PN 11, Final Passage",28,21,0,1,50
1645075,1263677,2023-02-28,Senate,"Senate Appropriations: Re-Reported as Committed",15,9,0,0,24
1645159,1231167,2023-01-09,Senate,"Senate State Government: Reported as Amended",8,3,0,0,11
1645159,1231168,2023-01-09,Senate,"Senate State Government: Adopt Amendment A00004",8,3,0,0,11
1645159,1231241,2023-01-10,Senate,"Senate Rules And Executive Nominations: Re-Reported as Amended",11,6,0,0,17
1645159,1231242,2023-01-10,Senate,"Senate Rules And Executive Nominations: Adopt Amendment A00013",11,6,0,0,17
1645159,1231362,2023-01-11,Senate,"Senate Appropriations: Reported as Committed",15,8,1,0,24
1645159,1231375,2023-01-11,Senate,"Senate Floor: SB 1 PN 26, Motion to Appeal Ruling of the Chair",21,27,0,1,49
1645159,1231376,2023-01-11,Senate,"Senate Floor: SB 1 PN 26, 2023 A16, Motion to Table BOSCOLA Amendment No. A-0016",27,21,0,1,49
1645159,1231377,2023-01-11,Senate,"Senate Floor: SB 1 PN 26, 2023 A17, Motion to Table BOSCOLA Amendment No. A-17",27,21,0,1,49
1645159,1231378,2023-01-11,Senate,"Senate Floor: SB 1 PN 26, 2023 A18, Motion to Table BOSCOLA Amendment No. A-0018",27,21,0,1,49
1645159,1231379,2023-01-11,Senate,"Senate Floor: SB 1 PN 26, Motion to Table",21,27,0,1,49
1645159,1231380,2023-01-11,Senate,"Senate Floor: SB 1 PN 26, Final Passage",28,20,0,1,49
1645159,1265211,2023-03-01,House,"House Judiciary: Report Bill As Amended",12,9,0,0,21
1645159,1265212,2023-03-01,House,"House Judiciary: Adopt Amendment A00091",12,9,0,0,21
1645159,1303904,2023-04-18,House,"House Judiciary: Re-report Bill As Committed",14,7,0,0,21
1645159,1317545,2023-05-03,House,"House Floor: SB 1 PN 385, MOTION TO REVERT PRIOR PRINTERS NUMBER 26",100,101,0,0,201
1645159,1317546,2023-05-03,House,"House Floor: SB 1 PN 385, 2023 A142, CONSTITUTIONALITY OF AMENDMENT",100,101,0,0,201
1645159,1317547,2023-05-03,House,"House Floor: SB 1 PN 385, 2023 A143, CONSTITUTIONALITY OF AMENDMENT",100,101,0,0,201
1645159,1329659,2023-05-22,House,"House Appropriations: Re-report Bill As Committed",25,12,0,0,37
1645159,1329924,2023-05-22,House,"House Floor: SB 1 PN 385, FINAL PASSAGE",145,56,0,0,201
1645247,1231153,2023-01-09,Senate,"Senate State Government: Reported as Committed",8,3,0,0,11
1645247,1231250,2023-01-10,Senate,"Senate Rules And Executive Nominations: Re-Reported as Committed",11,6,0,0,17
1645978,1262337,2023-02-27,Senate,"Senate Environmental Resources And Energy: Reported as Committed",7,4,0,0,11
1645978,1263616,2023-02-28,Senate,"Senate Floor: SR 9 PN 19",31,18,0,1,50
1646085,1231209,2023-01-10,Senate,"Senate Veterans Affairs And Emergency Preparedness: Reported as Committed",11,0,0,0,11
1646085,1271129,2023-03-08,Senate,"Senate Floor: SB 126 PN 16, Final Passage",49,0,0,1,50
1646085,1271130,2023-03-08,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1646085,1445653,2024-05-21,House,"House Finance: Re-report Bill As Committed",25,0,0,0,25
1646085,1453488,2024-06-04,House,"House Floor: SB 126 PN 16, 2023 A4630, MOTION TO APPEAL RULING OF THE CHAIR",102,100,0,1,203
1646085,1453489,2024-06-04,House,"House Floor: SB 126 PN 16, 2023 A4528",202,0,0,1,203
1646085,1453968,2024-06-05,House,"House Floor: SB 126 PN 1681, FINAL PASSAGE",201,1,0,1,203
1646085,1453969,2024-06-05,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1646085,1455701,2024-06-10,Senate,"Senate Rules And Executive Nominations: Re-Reported as Committed",17,0,0,0,17
1646085,1456040,2024-06-11,Senate,"Senate Floor: SB 126 PN 1681, Concur in House Amendments",49,0,0,1,50
1646197,1231208,2023-01-10,Senate,"Senate Veterans Affairs And Emergency Preparedness: Reported as Committed",11,0,0,0,11
1646197,1232630,2023-01-18,Senate,"Senate Floor: SB 141 PN 17, Final Passage",49,0,0,0,49
1646197,1232631,2023-01-18,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1646197,1347397,2023-06-26,House,"House Veterans Affairs And Emergency Preparedness: Report Bill As Committed",21,0,0,0,21
1646197,1355787,2023-10-04,House,"House Floor: SB 141 PN 17, FINAL PASSAGE",200,3,0,0,203
1646197,1355788,2023-10-04,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1646312,1231236,2023-01-10,Senate,"Senate Education: Reported as Committed",11,0,0,0,11
1646312,1232886,2023-01-18,Senate,"Senate Floor: SB 114 PN 18, Final Passage",49,0,0,0,49
1646312,1232887,2023-01-18,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1646312,1308203,2023-04-24,House,"House Education: Re-refer Bill To Another Committee",21,0,0,0,21
1646312,1356759,2023-10-31,House,"House Veterans Affairs And Emergency Preparedness: Adopt Amendment A02761",25,0,0,0,25
1646312,1356760,2023-10-31,House,"House Veterans Affairs And Emergency Preparedness: Report Bill As Amended",25,0,0,0,25
1648873,1232535,2023-01-18,Senate,"Senate Consumer Protection And Professional Licensure: Reported as Committed",14,0,0,0,14
1648873,1467883,2024-10-01,Senate,"Senate Appropriations: Re-Reported as Committed",23,0,1,0,24
1648873,1467968,2024-10-01,Senate,"Senate Floor: SB 155 PN 23, Final Passage",48,0,0,2,50
1648873,1468175,2024-10-07,House,"House Consumer Protection, Technology And Utilities: Report Bill As Committed",25,0,0,0,25
1648873,1468850,2024-10-22,House,"House Appropriations: Re-report Bill As Amended",37,0,0,0,37
1648873,1468851,2024-10-22,House,"House Appropriations: Adopt Amendment A06060",22,15,0,0,37
1648873,1468882,2024-10-23,House,"House Floor: SB 155 PN 1972, FINAL PASSAGE",202,0,0,1,203
1652160,1231959,2023-01-11,Senate,"Senate Floor: SR 16 PN 27, Motion Notwithstanding Rule 25",28,20,0,1,49
1652160,1231960,2023-01-11,Senate,"Senate Floor: SR 16 PN 27",28,20,0,1,49
1657139,1316259,2023-05-02,Senate,"Senate Education: Reported as Amended",11,0,0,0,11
1657139,1316260,2023-05-02,Senate,"Senate Education: Adopt Amendment A00161",11,0,0,0,11
1657317,1232826,2023-01-18,Senate,"Senate Environmental Resources And Energy: Reported as Committed",11,0,0,0,11
1657317,1264485,2023-02-28,Senate,"Senate Floor: SB 115 PN 41, Final Passage",49,0,0,1,50
1657317,1264486,2023-02-28,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1657317,1339034,2023-06-05,House,"House Transportation: Report Bill As Amended",21,0,0,0,21
1657317,1412075,2024-03-20,House,"House Floor: SB 115 PN 41, FINAL PASSAGE",200,1,0,1,202
1657317,1412076,2024-03-20,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1657435,1459092,2024-06-24,Senate,"Senate Agriculture And Rural Affairs: Reported as Amended A05073",11,0,0,0,11
1657435,1460186,2024-06-26,Senate,"Senate Appropriations: Re-Reported as Committed",23,0,1,0,24
1657435,1460527,2024-06-26,Senate,"Senate Floor: SB 82 PN 1768, Final Passage",50,0,0,0,50
1657435,1461318,2024-06-28,House,"House Agriculture And Rural Affairs: Report Bill As Committed",25,0,0,0,25
1657435,1462116,2024-07-01,House,"House Floor: SB 82 PN 1768, 2023 A5275",202,0,0,1,203
