bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1724272,2722769,text,64306,application/pdf,Introduced,https://legiscan.com/PA/text/HB1/id/2722769,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0001&pn=0004
1723866,2722451,text,83575,application/pdf,Introduced,https://legiscan.com/PA/text/HB2/id/2722451,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0002&pn=0005
1773739,2832863,text,108363,application/pdf,Introduced,https://legiscan.com/PA/text/HB19/id/2832863,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0019&pn=1816
1745716,2758930,text,76317,application/pdf,Introduced,https://legiscan.com/PA/text/HB20/id/2758930,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0020&pn=0605
1724313,2731959,text,72702,application/pdf,Introduced,https://legiscan.com/PA/text/HB21/id/2731959,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0021&pn=0011
1724353,2733246,text,69714,application/pdf,Introduced,https://legiscan.com/PA/text/HB22/id/2733246,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0022&pn=0012
1724112,2732026,text,74518,application/pdf,Introduced,https://legiscan.com/PA/text/HB23/id/2732026,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0023&pn=0013
1723906,2733241,text,75957,application/pdf,Introduced,https://legiscan.com/PA/text/HB24/id/2733241,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0024&pn=0014
1723747,2731558,text,76381,application/pdf,Introduced,https://legiscan.com/PA/text/HB25/id/2731558,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0025&pn=0015
1723713,2733247,text,67100,application/pdf,Introduced,https://legiscan.com/PA/text/HB26/id/2733247,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0026&pn=0016
1724234,2733215,text,66760,application/pdf,Introduced,https://legiscan.com/PA/text/HB27/id/2733215,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0027&pn=0017
1724234,2829389,text,90080,application/pdf,Amended,https://legiscan.com/PA/text/HB27/id/2829389,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0027&pn=1639
1724234,2841568,text,98517,application/pdf,Amended,https://legiscan.com/PA/text/HB27/id/2841568,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0027&pn=1987
1724234,2841994,text,239483,application/pdf,Amended,https://legiscan.com/PA/text/HB27/id/2841994,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0027&pn=2004
1724234,2843942,text,397969,application/pdf,Amended,https://legiscan.com/PA/text/HB27/id/2843942,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0027&pn=2106
