bill_id,people_id,position
1641635,20816,1
1641680,20817,1
1641726,470,2
1641726,21371,1
1641776,470,2
1641776,21371,1
1641829,470,2
1641829,21371,1
1641878,20817,1
1641928,18946,1
1644661,18795,1
1644738,277,3
1644738,339,9
1644738,465,11
1644738,902,6
1644738,16748,5
1644738,16869,4
1644738,16870,2
1644738,17529,7
1644738,17713,10
1644738,18795,1
1644738,21372,8
1644821,18795,1
1644905,277,10
1644905,339,7
1644905,465,5
1644905,16748,3
1644905,16869,9
1644905,16870,6
1644905,16956,2
1644905,17529,12
1644905,17713,8
1644905,18795,1
1644905,21372,4
1644905,22938,11
1644990,13010,2
1644990,16748,4
1644990,16870,1
1644990,17529,6
1644990,18516,3
1644990,18946,5
1645075,262,3
1645075,465,8
1645075,903,6
1645075,16748,9
1645075,16869,2
1645075,16956,5
1645075,17713,4
1645075,18795,1
1645075,22040,7
1645159,262,10
1645159,277,11
1645159,465,9
1645159,902,25
1645159,903,3
1645159,917,16
1645159,934,26
1645159,11527,5
1645159,11809,12
1645159,14166,21
1645159,16748,15
1645159,16869,24
1645159,16870,6
1645159,16956,7
1645159,17529,2
1645159,17713,23
1645159,18795,18
1645159,18900,1
1645159,18946,8
1645159,19038,14
1645159,21371,4
1645159,21372,19
1645159,22040,20
1645159,22080,22
1645159,22938,17
1645159,23555,13
1645247,339,2
1645247,903,5
1645247,11527,8
1645247,16748,9
1645247,16870,6
1645247,16956,3
1645247,17529,7
1645247,21372,4
1645247,23555,1
1645978,262,13
1645978,339,8
1645978,465,7
1645978,903,3
1645978,934,2
1645978,11527,17
1645978,16748,18
1645978,16869,10
1645978,16870,5
1645978,16956,14
1645978,17529,11
1645978,17713,16
1645978,18795,1
1645978,18900,9
1645978,18946,12
1645978,22040,6
1645978,22080,15
1645978,22938,4
1646085,465,2
1646085,16748,5
1646085,16869,3
1646085,20816,6
1646085,21372,1
1646085,22080,4
1646197,11527,5
1646197,16869,3
1646197,20563,2
1646197,21372,1
1646197,22080,4
1646312,262,2
1646312,277,1
1646312,503,9
1646312,917,16
1646312,931,12
1646312,11213,3
1646312,11809,10
1646312,16748,8
1646312,16869,4
1646312,16956,6
1646312,17529,15
1646312,20817,13
1646312,21372,11
1646312,22078,7
1646312,22080,14
1646312,23149,5
1646317,20817,1
1646583,262,6
1646583,277,11
1646583,339,12
1646583,465,14
1646583,902,18
1646583,903,2
1646583,934,21
1646583,11527,1
1646583,14166,16
1646583,16748,23
1646583,16869,20
1646583,16870,10
1646583,16956,7
1646583,17529,19
1646583,17713,22
1646583,18795,15
1646583,18900,4
1646583,18946,9
1646583,19038,8
1646583,22040,3
1646583,22080,13
1646583,22938,17
1646583,23555,5
1648873,277,1
1648873,339,12
1648873,470,11
1648873,14166,14
1648873,16869,5
1648873,16956,4
1648873,17529,8
1648873,18516,7
1648873,20563,2
1648873,21372,10
1648873,22078,6
1648873,22079,9
1648873,22080,13
1648873,23149,3
1650470,262,2
1650470,277,4
1650470,339,18
1650470,465,28
1650470,470,21
1650470,481,14
1650470,503,17
1650470,903,23
1650470,917,19
1650470,931,13
1650470,934,9
1650470,11213,15
1650470,11527,26
1650470,16748,29
1650470,16869,22
1650470,16870,6
1650470,16956,20
1650470,17529,27
1650470,18220,7
1650470,18795,11
1650470,18900,5
1650470,18946,16
1650470,21372,24
1650470,22040,8
1650470,22078,12
1650470,22079,3
1650470,22080,25
1650470,22938,10
1650470,23555,1
1650848,262,2
1650848,277,4
1650848,339,18
1650848,465,28
1650848,470,21
1650848,481,14
1650848,503,17
1650848,903,23
1650848,917,19
1650848,931,13
1650848,934,9
1650848,11213,15
1650848,11527,26
1650848,16748,29
1650848,16869,22
1650848,16870,6
1650848,16956,20
1650848,17529,27
1650848,18220,7
1650848,18795,11
1650848,18900,5
1650848,18946,16
1650848,21372,24
1650848,22040,8
1650848,22078,12
1650848,22079,3
1650848,22080,25
1650848,22938,10
1650848,23555,1
1652160,21371,1
1655544,339,17
1655544,466,7
1655544,470,13
1655544,477,3
1655544,931,16
1655544,16748,14
1655544,16869,11
1655544,16956,4
1655544,16957,2
1655544,17529,15
1655544,18220,18
1655544,18516,1
1655544,18946,10
1655544,20563,9
1655544,20815,6
1655544,20816,19
1655544,22078,8
1655544,22079,5
1655544,23149,12
1655745,277,1
1655745,16748,3
1655745,16869,4
1655745,16870,2
1655745,17529,5
1655745,21372,6
1655995,339,4
1655995,934,5
1655995,14146,6
1655995,16748,2
1655995,16869,3
1655995,18795,1
1657023,465,8
1657023,470,4
1657023,902,10
1657023,11213,7
1657023,13010,5
1657023,16869,1
1657023,16870,3
1657023,16956,2
1657023,17529,9
1657023,17713,12
1657023,22040,6
1657023,22079,11
1657083,277,3
1657083,339,8
1657083,465,12
1657083,466,10
1657083,470,5
1657083,503,6
1657083,917,16
1657083,931,11
1657083,11527,14
1657083,13010,7
1657083,16748,15
1657083,16869,1
1657083,16870,4
1657083,16956,2
1657083,17529,13
1657083,22040,9
1657139,277,8
1657139,11527,6
1657139,13010,5
1657139,16869,4
1657139,16870,3
1657139,16956,2
1657139,18795,1
1657139,22080,7
1657202,277,1
1657202,465,11
1657202,466,12
1657202,470,6
1657202,11213,8
1657202,16748,7
1657202,16869,5
1657202,16870,3
1657202,17529,9
1657202,18946,4
1657202,21372,10
1657202,22938,2
1657258,277,3
1657258,917,11
1657258,11213,6
1657258,11527,9
1657258,14166,2
1657258,16869,7
1657258,16956,5
1657258,17529,8
1657258,18795,1
1657258,22040,4
1657258,22080,10
1657317,339,4
1657317,902,6
1657317,16748,7
1657317,16869,1
1657317,16956,2
1657317,17529,5
1657317,17713,3
1657378,477,2
1657378,18220,5
1657378,18516,7
1657378,20563,6
1657378,20816,1
1657378,22078,3
1657378,23149,4
1657435,277,4
1657435,470,6
1657435,13010,3
1657435,16870,1
1657435,16956,2
1657435,17529,7
1657435,18946,5
1657435,22080,8
1657494,339,8
1657494,465,7
1657494,11527,10
1657494,14166,11
1657494,16869,4
1657494,16870,2
1657494,17529,1
1657494,18795,3
1657494,18946,6
1657494,19038,9
1657494,21372,5
1657494,22040,12
1657554,465,6
1657554,14166,7
1657554,16869,3
1657554,16870,1
1657554,17529,4
1657554,18946,2
1657554,21372,5
1657610,465,8
1657610,902,4
1657610,14166,9
1657610,16869,3
1657610,16870,1
1657610,16956,2
1657610,17529,5
1657610,17713,7
1657610,21372,6
1657663,339,3
1657663,470,4
1657663,18795,1
1657663,22040,2
1660612,339,1
1660612,16869,6
1660612,16956,5
1660612,17529,7
1660612,21372,3
1660612,22040,4
1660612,22078,2
1665489,477,3
1665489,481,4
1665489,931,8
1665489,13010,5
1665489,16957,2
1665489,18220,7
1665489,20816,1
1665489,22079,6
1665553,477,3
1665553,481,4
1665553,931,8
1665553,13010,5
1665553,16957,2
1665553,18220,7
1665553,20816,1
1665553,22079,6
1665620,503,1
1665620,18516,5
1665620,20815,2
1665620,22078,3
1665620,23149,4
1665684,902,6
1665684,16869,5
1665684,17529,3
1665684,18795,1
1665684,21372,4
1665684,22040,2
1665752,477,3
1665752,503,1
1665752,11213,4
1665752,13010,6
1665752,18516,10
1665752,20563,7
1665752,20815,2
1665752,20816,9
1665752,22078,5
1665752,22079,8
1665816,477,3
1665816,931,7
1665816,16957,2
1665816,18220,6
1665816,20815,4
1665816,20816,1
1665816,22079,5
1665882,470,11
1665882,477,4
1665882,481,3
1665882,503,1
1665882,931,13
1665882,13010,7
1665882,16957,2
1665882,18220,14
1665882,18516,10
